Event	ID	Name			Wwise Object Path	Notes
	600350620	Play_AMB_MachineClose			\Default Work Unit\AMB\Play_AMB_MachineClose	
	813544243	Play_Elevator_Stop			\Default Work Unit\AMB\Play_Elevator_Stop	
	904834108	Play_Machine_BackGround			\Default Work Unit\AMB\Play_Machine_BackGround	
	1109285691	Play_AMB_WaterDispencer			\Default Work Unit\AMB\Play_AMB_WaterDispencer	
	1178128302	Play_AMB_Computer			\Default Work Unit\AMB\Play_AMB_Computer	
	1334958035	Play_AMB_ComputerRoom			\Default Work Unit\AMB\Play_AMB_ComputerRoom	
	1716738710	Play_Second_Elevator_Door			\Default Work Unit\AMB\Play_Second_Elevator_Door	
	2262856516	Play_FT			\Default Work Unit\FT\Play_FT	
	2667826777	Play_Elevator_Start			\Default Work Unit\AMB\Play_Elevator_Start	
	2838936948	Play_Rain			\Default Work Unit\AMB\Play_Rain	
	3058881323	Play_Air_Realease			\Default Work Unit\AMB\Play_Air_Realease	
	3240870828	Play_AMB_Future			\Default Work Unit\AMB\Play_AMB_Future	
	3625982748	Play_Inside_Calm			\Default Work Unit\AMB\Play_Inside_Calm	
	3842941372	Play_Door_Sas			\Default Work Unit\AMB\Play_Door_Sas	

Switch Group	ID	Name			Wwise Object Path	Notes
	348963605	Reverb			\Default Work Unit\Reverb	
	1802970383	FT			\Default Work Unit\FT	

Switch	ID	Name	Switch Group			Notes
	1160234136	Normal	Reverb			
	1289942167	Stairs	Reverb			
	1668749452	No	Reverb			
	4284352190	Large	Reverb			
	841620460	Concrete	FT			
	1289942167	Stairs	FT			
	1636252113	Concrete_Wet	FT			
	2412606308	Carpet	FT			
	2473969246	Metal	FT			

Effect plug-ins	ID	Name	Type				Notes
	2513915904	Hall_Large	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4461938	FT_Concrete_03	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Concrete_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Concrete_rnd\FT_Concrete_03		209292
	23811742	FT_Stairs_01	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Stairs_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Stairs_rnd\FT_Stairs_01		218800
	25275275	FT_Carpet_03	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Carpet_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Carpet_rnd\FT_Carpet_03		204688
	35917016	AMB_Air_Realease_03	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\AMB_Air_Realease_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\AMB_AM\Element\Air_Realease_rnd\AMB_Air_Realease_03		441064
	99269918	FT_Carpet_01	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Carpet_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Carpet_rnd\FT_Carpet_01		202924
	104657601	AMB_MachineBackGround_LP_03	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\AMB_MachineBackGround_LP_03_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\AMB_AM\Room\Machine_BackGround_rnd\AMB_MachineBackGround_LP_03		970264
	113504293	FT_Stairs_02	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Stairs_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Stairs_rnd\FT_Stairs_02		222328
	173445024	FT_Concrete_05	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Concrete_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Concrete_rnd\FT_Concrete_05		206700
	191184049	FT_Concrete_Wet_03	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Concrete_Wet_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Concrete_Wet_rnd\FT_Concrete_Wet_03		264664
	204367848	AMB_Computer_LP	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\AMB_Computer_LP_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\AMB_AM\Element\AMB_Computer_LP		617464
	212249691	Elevator_Start	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\Elevator_Start_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\AMB_AM\Element\Elevator_Start		352864
	255820955	FT_Metal_04	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Metal_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Metal_rnd\FT_Metal_04		270048
	283443247	FT_Concrete_Wet_02	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Concrete_Wet_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Concrete_Wet_rnd\FT_Concrete_Wet_02		264664
	313940059	FT_Concrete_Wet_05	C:\Users\rcham\Documents\Unreal Projects\EscapeLaboratory\EscapeLaboratory_WwiseProject\.cache\Windows\SFX\FT_Concrete_Wet_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\FT\FT_AM\FT_swt\FT_Rvb_Normal_swt\FT_Concrete_Wet_rnd\FT_Concrete_Wet_05		264664
